カテゴリ名,ディレクトリID
CD・DVD >> Blu-ray >> TVドキュメンタリー >> スポーツ,564040
CD・DVD >> Blu-ray >> TVドキュメンタリー >> その他,553640
CD・DVD >> Blu-ray >> TVドキュメンタリー >> タレント,564043
CD・DVD >> Blu-ray >> TVドキュメンタリー >> 宇宙・科学,564041
CD・DVD >> Blu-ray >> TVドキュメンタリー >> 宗教,564039
CD・DVD >> Blu-ray >> TVドキュメンタリー >> 動物・人体・自然,564038
CD・DVD >> Blu-ray >> TVドキュメンタリー >> 旅・紀行,564042
CD・DVD >> Blu-ray >> TVドキュメンタリー >> 歴史・地理,564036
CD・DVD >> Blu-ray >> TVドラマ >> アジア,553526
CD・DVD >> Blu-ray >> TVドラマ >> その他,505038
CD・DVD >> Blu-ray >> TVドラマ >> 海外,553525
CD・DVD >> Blu-ray >> TVドラマ >> 韓国,553527
CD・DVD >> Blu-ray >> TVドラマ >> 日本,553524
CD・DVD >> Blu-ray >> アイドル,553651
CD・DVD >> Blu-ray >> アジア・韓国 >> アクション,553500
CD・DVD >> Blu-ray >> アジア・韓国 >> コメディー,553501
CD・DVD >> Blu-ray >> アジア・韓国 >> サスペンス・ミステリー,553502
CD・DVD >> Blu-ray >> アジア・韓国 >> その他,505036
CD・DVD >> Blu-ray >> アジア・韓国 >> ドキュメンタリー,553505
CD・DVD >> Blu-ray >> アジア・韓国 >> ヒューマン,553506
CD・DVD >> Blu-ray >> アジア・韓国 >> ホラー,553508
CD・DVD >> Blu-ray >> アジア・韓国 >> ロマンス・ラブストーリー,553509
CD・DVD >> Blu-ray >> アジア・韓国 >> 韓国,553499
CD・DVD >> Blu-ray >> アジア・韓国 >> 史劇,553503
CD・DVD >> Blu-ray >> アジア・韓国 >> 戦争,553504
CD・DVD >> Blu-ray >> アニメ >> TVアニメ,553575
CD・DVD >> Blu-ray >> アニメ >> オリジナルアニメ,553551
CD・DVD >> Blu-ray >> アニメ >> キッズアニメ,553563
CD・DVD >> Blu-ray >> アニメ >> その他,505041
CD・DVD >> Blu-ray >> アニメ >> 海外アニメ,553587
CD・DVD >> Blu-ray >> アニメ >> 劇場版,553599
CD・DVD >> Blu-ray >> お笑い・バラエティー >> TV番組,553530
CD・DVD >> Blu-ray >> お笑い・バラエティー >> コント,553532
CD・DVD >> Blu-ray >> お笑い・バラエティー >> その他,505039
CD・DVD >> Blu-ray >> お笑い・バラエティー >> ライブ,553531
CD・DVD >> Blu-ray >> お笑い・バラエティー >> 漫才,553533
CD・DVD >> Blu-ray >> お笑い・バラエティー >> 落語,553534
CD・DVD >> Blu-ray >> キッズ・ファミリー >> その他,505045
CD・DVD >> Blu-ray >> キッズ・ファミリー >> 学習・教育,553669
CD・DVD >> Blu-ray >> キッズ・ファミリー >> 子供番組,553665
CD・DVD >> Blu-ray >> キッズ・ファミリー >> 乗り物,553667
CD・DVD >> Blu-ray >> キッズ・ファミリー >> 動物,553668
CD・DVD >> Blu-ray >> スポーツ >> ゴルフ,553538
CD・DVD >> Blu-ray >> スポーツ >> サッカー,553539
CD・DVD >> Blu-ray >> スポーツ >> スキー,553540
CD・DVD >> Blu-ray >> スポーツ >> スノーボード,553541
CD・DVD >> Blu-ray >> スポーツ >> その他,505040
CD・DVD >> Blu-ray >> スポーツ >> テニス,553543
CD・DVD >> Blu-ray >> スポーツ >> バスケットボール,553544
CD・DVD >> Blu-ray >> スポーツ >> フィットネス・ヨガ,553545
CD・DVD >> Blu-ray >> スポーツ >> マリンスポーツ,553546
CD・DVD >> Blu-ray >> スポーツ >> モータースポーツ,553547
CD・DVD >> Blu-ray >> スポーツ >> 格闘技・武道,553537
CD・DVD >> Blu-ray >> スポーツ >> 自転車,553542
CD・DVD >> Blu-ray >> スポーツ >> 野球,553548
CD・DVD >> Blu-ray >> その他,505047
CD・DVD >> Blu-ray >> ミュージック >> イージーリスニング・ヒーリング,553633
CD・DVD >> Blu-ray >> ミュージック >> インストゥルメンタル,553632
CD・DVD >> Blu-ray >> ミュージック >> カラオケ,553618
CD・DVD >> Blu-ray >> ミュージック >> クラシック,553630
CD・DVD >> Blu-ray >> ミュージック >> その他,505042
CD・DVD >> Blu-ray >> ミュージック >> 韓国（K-POP）・アジア,562680
CD・DVD >> Blu-ray >> ミュージック >> 邦楽 >> R&B・ディスコ,553607
CD・DVD >> Blu-ray >> ミュージック >> 邦楽 >> インディーズ,553606
CD・DVD >> Blu-ray >> ミュージック >> 邦楽 >> ジャズ・ブルース,553608
CD・DVD >> Blu-ray >> ミュージック >> 邦楽 >> その他,553620
CD・DVD >> Blu-ray >> ミュージック >> 邦楽 >> テクノ・リミックス・ハウス,553614
CD・DVD >> Blu-ray >> ミュージック >> 邦楽 >> ヘビーメタル・ハードロック,553605
CD・DVD >> Blu-ray >> ミュージック >> 邦楽 >> ラップ・ヒップホップ,553613
CD・DVD >> Blu-ray >> ミュージック >> 邦楽 >> ロック・ポップス,553604
CD・DVD >> Blu-ray >> ミュージック >> 邦楽 >> 演歌・歌謡曲,553617
CD・DVD >> Blu-ray >> ミュージック >> 邦楽 >> 童謡・民謡,553616
CD・DVD >> Blu-ray >> ミュージック >> 洋楽 >> R&B・ディスコ,553625
CD・DVD >> Blu-ray >> ミュージック >> 洋楽 >> インディーズ,553624
CD・DVD >> Blu-ray >> ミュージック >> 洋楽 >> ゴスペル,553636
CD・DVD >> Blu-ray >> ミュージック >> 洋楽 >> ジャズ・ブルース,553626
CD・DVD >> Blu-ray >> ミュージック >> 洋楽 >> その他,553638
CD・DVD >> Blu-ray >> ミュージック >> 洋楽 >> テクノ・リミックス・ハウス,553628
CD・DVD >> Blu-ray >> ミュージック >> 洋楽 >> トランス・ユーロビート,553634
CD・DVD >> Blu-ray >> ミュージック >> 洋楽 >> パンク・ハードコア,553629
CD・DVD >> Blu-ray >> ミュージック >> 洋楽 >> フォーク・カントリー,553635
CD・DVD >> Blu-ray >> ミュージック >> 洋楽 >> ヘビーメタル・ハードロック,553623
